sleep_hours,parental_education_level,parental_education_binary,exam_score
9.2,High School,low,98
4.2,Master,high,100
7.4,Master,high,84
7.6,High School,low,70
7.2,Master,high,100
8,Master,high,77
9.1,High School,low,88
6.4,High School,low,60
5.2,Master,high,82
6.5,High School,low,100
5.2,Bachelor,high,80
7.7,Master,high,89
4,Bachelor,high,92
7.8,Bachelor,high,88
7.7,Bachelor,high,95
6.8,Master,high,93
7.1,Bachelor,high,94
7.5,Master,high,100
6.3,High School,low,89
9.4,Master,high,100
8.9,Bachelor,high,80
4.4,Bachelor,high,96
8.7,Master,high,100
5.9,High School,low,78
7.5,High School,low,79
4.6,Master,high,88
6.2,Bachelor,high,96
6.6,High School,low,100
7,Master,high,97
7.9,Bachelor,high,100
5,Master,high,75
6,High School,low,99
6.6,Master,high,83
9.6,High School,low,76
8.6,High School,low,79
5.1,Master,high,86
8.7,Bachelor,high,97
8.6,High School,low,85
7.8,High School,low,99
9.3,Bachelor,high,100
5.9,Bachelor,high,100
7.3,Bachelor,high,98
7.8,High School,low,100
6.5,High School,low,100
9.2,Bachelor,high,70
7.6,Bachelor,high,96
4,Master,high,100
8.5,Bachelor,high,96
6.9,Master,high,75
6.7,High School,low,100
5.9,Bachelor,high,94
6.9,High School,low,83
7.7,Master,high,96
4.8,Master,high,73
5.8,Bachelor,high,97
4.4,High School,low,72
7.3,Master,high,88
7.9,Master,high,92
8.7,Master,high,92
7.9,Bachelor,high,100
9.8,High School,low,89
7.1,High School,low,100
6.2,Bachelor,high,95
4.8,Master,high,93
5.8,High School,low,100
8.6,Bachelor,high,100
7.6,High School,low,93
6.6,Bachelor,high,63
9.3,High School,low,86
7.8,Bachelor,high,100
7.9,High School,low,98
8.4,Bachelor,high,97
10.4,High School,low,74
7,High School,low,97
8,High School,low,80
7.8,High School,low,99
7.2,Bachelor,high,87
4,High School,low,84
5.6,Master,high,68
4.8,Master,high,100
6.2,Bachelor,high,50
6.7,Master,high,72
9,High School,low,93
7.6,Bachelor,high,100
5.7,Bachelor,high,87
7.4,Master,high,87
5.8,High School,low,98
6.5,Bachelor,high,84
6.7,High School,low,100
5.5,High School,low,73
4.3,Master,high,100
6.5,Bachelor,high,94
7.8,Master,high,84
5.3,High School,low,100
5.6,Master,high,100
5.4,Bachelor,high,97
5.2,Master,high,96
10.6,Master,high,82
6.8,Master,high,100
8.6,High School,low,68
4.2,Bachelor,high,91
8.2,High School,low,92
6,High School,low,96
6.3,High School,low,96
6.6,Master,high,58
6.3,Bachelor,high,100
6.5,Master,high,61
5.6,High School,low,65
8.4,High School,low,72
